2010	2020	2030	2040	2050	2060	2070	2080	2090	2100
0	0	1084.15790000000	6512.90170000000	13708.9413000000	17683.2843000000	20072.6546000000	21326.6510000000	22946.3242000000	25830.6977000000
0	0	954.968100000000	5165.00230000000	13317.3272000000	17205.5582000000	18166.9835000000	20644.5232000000	22514.7972000000	22347.4532000000
0	0	414.017900000000	2567.56980000000	7455.99120000000	13844.5656000000	15388.4201000000	16049.5158000000	16081.6118000000	20086.3555000000
0	0	435.714600000000	2530.01910000000	6835.18370000000	12382.3190000000	11965.1626000000	14812.6926000000	16432.9599000000	15195.9330000000
0	0	0	1336.26540000000	4553.80030000000	7639.69640000000	8715.86780000000	9110.88330000000	9117.67010000000	9219.49390000000
0	0	1648.83000000000	6617.76290000000	15156.0442000000	18482.1663000000	19702.7856000000	20608.1737000000	21272.3210000000	22286.8707000000
0	0	587.584600000000	5483.00440000000	12470.7935000000	18040.6882000000	20236.2297000000	19918.0029000000	19086.2447000000	18279.3424000000
0	0	0	4765.11790000000	17885.5140000000	28892.1154000000	32608.5242000000	35245.2409000000	38005.7969000000	41348.8258000000
0	0	165.122900000000	5486.52340000000	12110.7327000000	17195.9868000000	20372.9310000000	22123.5069000000	23485.8285000000	25642.0757000000
0	0	630.986100000000	5259.92920000000	12192.5253000000	17685.5344000000	21715.3279000000	23738.0934000000	24949.7903000000	26120.0184000000
0	0	635.692000000000	5543.38730000000	12105.3202000000	17326.4028000000	22057.7142000000	23371.3894000000	24482.2529000000	25406.8124000000
0	0	629.587700000000	4713.11030000000	10942.0322000000	14727.0307000000	13556.1603000000	15732.7355000000	17641.9137000000	19220.1645000000
0	0	767.265900000000	5069.91040000000	12665.2615000000	16745.9759000000	15180.4476000000	17672.3028000000	19958.9554000000	21946.2557000000
0	0	759.931300000000	4989.11410000000	12674.6565000000	16856.2419000000	14573.1412000000	16920.5222000000	19258.0554000000	21349.7885000000
0	0	635.692000000000	4665.44950000000	13801.1370000000	21294.9485000000	19648.8368000000	22562.2076000000	25714.0563000000	28534.5018000000
0	0	807.344800000000	5383.35900000000	11145.0030000000	17492.5114000000	22252.4443000000	25862.5548000000	27101.6343000000	25823.8499000000
0	0	920.201000000000	5944.42850000000	12812.6139000000	19086.9181000000	24045.5252000000	25486.8399000000	24764.7190000000	21203.1137000000
1813.31503100000	2360.50085300000	3368.03237800000	4188.26994600000	5118.54418600000	6943.89378900000	9416.93151800000	12292.0865000000	14457.3709800000	16216.8097500000
1813.31503100000	2539.36204400000	3488.42059500000	11325.5895800000	17059.0374700000	20813.6451000000	23464.1558700000	24849.4193600000	26751.4166800000	32139.9663000000
1813.31503100000	2566.11219100000	9776.82544900000	15773.6414400000	20061.9809800000	23252.7467500000	24568.9088500000	24992.3566400000	26883.7178400000	31790.8951600000
1813.31503100000	2638.28073500000	4086.31079700000	20541.3705400000	29957.6158500000	34654.3392900000	37637.2760800000	37708.8774800000	33732.0603200000	33297.1958200000
0	40.0790265800000	1068.14064900000	4199.85351700000	8774.61363500000	11061.7465800000	13172.7240900000	16812.8522900000	20460.1866300000	23445.9268300000
0	117.545181400000	1180.61703200000	6306.35992700000	10180.3158200000	12899.5677000000	16472.7831000000	19641.9872300000	21362.3439900000	21579.8831200000
0	52.6373115100000	407.966443500000	2163.22606200000	5050.49276200000	10948.2665600000	14356.1576000000	17388.8820900000	21569.1623800000	23490.1517000000
0	54.1429864100000	355.483497800000	2849.52663400000	9056.76908000000	11539.7443000000	13329.7814700000	16088.5458800000	20042.4430800000	21029.3656800000
0	0	772.809265000000	4911.49891700000	9610.43192400000	12185.4002900000	15963.5189000000	20343.1810500000	21677.1950200000	21604.2789100000
0	0	834.044004600000	3939.83904300000	8463.21680600000	10421.6631600000	13635.2438800000	18500.6708000000	20962.3078600000	22924.3068300000
0	9.88881000000000e-10	524.065015000000	3298.16683900000	5549.69938800000	8620.20153600000	11074.0107200000	14819.4514000000	17942.1930800000	16210.2225300000
0	61.9246284600000	1499.26907900000	5862.11821600000	8160.11952300000	11001.1799700000	14904.4777900000	17387.8773800000	19001.7516100000	19232.4135500000
0	70.0092704300000	1739.14515900000	5998.04856700000	6852.89599100000	7677.81274700000	9082.76727800000	10189.2321400000	9664.05124200000	10278.2484600000
0	19.2794799300000	1349.66163700000	5384.32521400000	11401.2209000000	13739.1848800000	15897.5148600000	18948.2514600000	21333.2871000000	22569.5268300000
0	19.5151755900000	1428.52809100000	7452.46622000000	10688.4425100000	12744.4541800000	15377.7022300000	18584.1390600000	20875.6542200000	21939.2382300000
0	51.5335076700000	1566.70836100000	7329.71386000000	9533.51031400000	10999.4305900000	14556.8816100000	16270.1992100000	15761.7642500000	15340.2511700000
0	27.3691174900000	1180.81298200000	2508.40989400000	5381.38443700000	6242.52048200000	8467.42238800000	12006.0089800000	12794.7679700000	12700.2084300000
0	20.3667535300000	1585.72189000000	6412.40794900000	10281.4050300000	12776.8560900000	15809.8961200000	19530.9166700000	21474.6405200000	21862.3887200000
0	0	868.728349300000	5483.35478800000	9937.07210700000	12179.0905000000	14440.9162500000	16764.4959400000	20627.8195600000	22850.4343000000
0	0	121.100000000000	2441.90000000000	9384	12868.2000000000	14557.8000000000	15819.7000000000	18187.6000000000	21496
0	791.098000000000	2790.80633300000	5231.77233300000	6872.99800000000	6705.97033300000	6051.55466700000	6963.04033300000	8852.34900000000	11101.3943300000
0	0	3252.04000000000	9439.29433300000	15832.7473300000	13625.8136700000	10836.8810000000	10104.7686700000	10730.4486700000	11390.0563300000
0	0	1193.28366700000	5577.21633300000	13029.2176700000	17264.2800000000	17920.9030000000	16243.2710000000	15022.8026700000	13653.2660000000
0	369.350666700000	2046.89833300000	5119.94266700000	7589.72133300000	8541.54033300000	8498.85666700000	9541.09200000000	10706.7290000000	11801.2986700000
0	229.232666700000	3765.09833300000	11367.0920000000	18608.6486700000	14747.5423300000	13308.7093300000	13506.5956700000	14660.6350000000	15680.9803300000
0	229.232666700000	3469.53566700000	10483.7406700000	18691.8636700000	19404.3740000000	17286.4780000000	14596.3876700000	13451.2620000000	14088.4260000000
0	229.133666700000	2326.22133300000	8831.96600000000	20545.2096700000	27196.3486700000	28236.4683300000	25692.9236700000	22199.7893300000	17570.1276700000
0	229.126333300000	2251.49833300000	8436.54166700000	19911.9360000000	26040.1313300000	27830.7920000000	25234.7113300000	23491.4313300000	20087.4006700000
0	9.90733333300000	1403.77600000000	8027.06300000000	21857.3080000000	29922.3503300000	38177.8723300000	43530.2670000000	44253.7370000000	44252.9376700000
0	9.90733333300000	4561.83566700000	13738.5453300000	24627.2546700000	30446.9880000000	36689.9536700000	37244.6506700000	33496.2210000000	31037.6586700000
0	9.90733333300000	1536.20866700000	6072.60500000000	15602.7043300000	28120.8216700000	34890.6433300000	40405.3833300000	40888.3640000000	38366.1300000000
0	9.90733333300000	1537.10333300000	7031.67300000000	15188.5506700000	22308.8543300000	23787.0673300000	24079.7260000000	27236.8506700000	27989.4633300000
0	0	872.342227200000	3862.62446800000	9447.59645100000	16599.4827300000	23296.4179700000	26845.2502900000	25502.2645500000	22236.3105800000
0	0	744.712662300000	3799.52360500000	10616.1935900000	18598.6817500000	24249.5231300000	27333.5934600000	26189.2302300000	22971.6111400000
0	0	1251.55117600000	5280.27796800000	12522.1157300000	19228.4657500000	24027.1853700000	25060.7211400000	21697.2948700000	15552.1159400000
0	0	1901.81163200000	6625.53056600000	11522.8574900000	14551.0307100000	16381.7251300000	13538.8613500000	8732.04929300000	4024.27822900000
0	0	906.282327100000	4133.82750400000	11116.3656900000	18257.5108000000	21733.7162300000	22883.4402900000	20717.0907400000	17474.2017300000
0	0	2526.36183200000	8103.78939100000	11858.3053100000	14552.0662200000	14932.6559000000	10688.0750900000	5167.95456800000	2785.86637100000
0	0	1609.73222500000	6464.68754000000	14268.2596400000	20668.9624400000	25245.0241300000	25465.5580800000	21999.2603800000	17585.0463200000
0	0	1500.54720900000	5555.04733000000	10643.1448200000	13624.7044000000	16653.0517900000	15759.8421300000	11186.5753900000	5788.48726500000
0	0	608.083666700000	2901.38200000000	7909.59400000000	14259.8280000000	19077.3696700000	20955.4106700000	20112.5576700000	17274.1250000000
0	14.7986666700000	1149.26166700000	4564.64066700000	11005.4596700000	16585.4773300000	22888.7010000000	24607.2896700000	23031.1070000000	20883.8630000000
0	0	1884.76065300000	6850.22265200000	14658.0082000000	21424.2467300000	25525.6539500000	25322.9799000000	22004.2947500000	18836.4679100000
0	0	679.680901300000	3289.20638000000	8136.25654200000	16681.7215300000	24296.0009600000	28058.9362800000	28996.6823600000	26531.4867200000
0.00795001100000000	1.53090122700000	495.676200600000	4427.29995400000	13996.2720900000	21459.7936700000	24477.5346900000	28932.4330800000	34951.8071400000	38440.2338200000
0.00795001100000000	1.53090122700000	468.530368000000	4666.43031000000	15543.8353600000	21716.1788900000	24422.7745900000	28544.0491800000	33721.9898200000	38024.6664800000
1.91964000000000e-05	3.04361915600000	46.2121810900000	1187.44140600000	5855.96923800000	11756.1132800000	15856.5615200000	19994.3710900000	25492.9707000000	31213.7031300000
1.91964000000000e-05	3.04361915600000	35.1798095700000	461.831634500000	3595.43164100000	10825.4101600000	15821.5800800000	21227.9785200000	26882.0312500000	32671.9746100000
0.00842940900000000	0.882425547000000	280.341278100000	2040.54553200000	6855.11474600000	12853.0283200000	16707.0664100000	18337.4804700000	18322.7851600000	18309.4648400000
0.00842940900000000	0.882202387000000	260.799591100000	2338.13012700000	7366.14111300000	13839.7646500000	17632.4746100000	19717.1503900000	19902.3144500000	20071.9531300000
0.00842940900000000	0.882201314000000	367.498230000000	2490.18920900000	6806.72412100000	10380.0205100000	12280.8173800000	12815.1230500000	12672.1582000000	12216.1005900000
0.00842940900000000	0.882199645000000	363.377990700000	1408.26550300000	2517.52417000000	3636.56909200000	4221.01709000000	4227.60253900000	3913.50732400000	3620.66552700000
0.00842940900000000	0.882894993000000	260.693176300000	2224.21215800000	6661.81054700000	12402.5527300000	15612.4814500000	16904.1621100000	16613.0390600000	16606.6601600000
0.00842940900000000	0.882893324000000	369.083587600000	1405.44213900000	2499.31079100000	3553.98632800000	4042.47216800000	4006.36254900000	3653.90063500000	3331.39965800000
0.00266144700000000	0.299159229000000	135.931350700000	1085.98608400000	4053.72387700000	11575.6757800000	16837.0625000000	19482.8105500000	19077.7089800000	18622.1601600000
0.00266144700000000	0.299630255000000	135.767135600000	957.387573200000	2374.91503900000	4286.79687500000	5304.74755900000	5231.82617200000	4452.60205100000	3579.84204100000
0	53.6539993300000	1100.82897900000	4513.91601600000	9081.75488300000	13445.0683600000	15597.9531300000	15567.3505900000	16131.8808600000	16877.6875000000
0	62.3320007300000	1356.43200700000	5607.34277300000	10095.8847700000	13810.8554700000	15710.0722700000	15603.9179700000	16063.6318400000	16828.8359400000
0	44.6119995100000	908.244995100000	3524.60400400000	6889.15087900000	11225.6484400000	14272.4775400000	15315.4140600000	16260.3818400000	16973.3105500000
0	0.778000000000000	183.402900000000	2160.44840000000	5566.93220000000	8787.26250000000	11245.4029000000	12492.4588000000	13049.9980000000	13686.1276000000
0	0.778000000000000	592.028400000000	3556.59330000000	6757.45640000000	10001.6366000000	11967.2369000000	12997.6456000000	13645.5462000000	14527.2658000000
0	0.778000000000000	69.6164000000000	2318.78990000000	7049.55670000000	11047.4863000000	13017.9642000000	14257.4663000000	14900.1613000000	15432.1550000000
0	0	359.735300000000	2360.25500000000	5851.79300000000	9612.92700000000	11267.4600000000	10966.0700000000	10275.1700000000	8770.13900000000
0	0	246.155700000000	1644.20100000000	4495.87300000000	9342.34300000000	14853.0700000000	16787.0100000000	14672.5000000000	11610.7900000000
0	0	447.779700000000	2644.00100000000	5455.68400000000	7042.26400000000	7583.25400000000	7105.16100000000	6769.01900000000	6474.27100000000
0	0.377000000000000	61.4000000000000	611	2600	5970	8840	10200	10700	11000
0	2.49000000000000	163	1490	5080	9310	12100	14000	15100	15600
0	2.18400000000000	456.148000000000	3740.32600000000	7053.55200000000	10195.2200000000	12082.3100000000	12981.9300000000	13684.3000000000	14214.1100000000
0	2.18400000000000	196.252600000000	1897.25100000000	5465.91000000000	8252.28900000000	10477.8100000000	11723.0500000000	11938.4000000000	12186.2700000000
0	15.2442000000000	447.906900000000	3041.45400000000	7852.22800000000	11362.7700000000	12695.0200000000	11908.7700000000	9769.69600000000	7954.34700000000
0	15.2442000000000	461.878600000000	2702.71100000000	6256.80400000000	8939.02450000000	9748.41210000000	8311.51510000000	5302.62590000000	2623.35490000000
0	15.2442000000000	322.675500000000	1987.00500000000	5482.32200000000	10471.5100000000	14375.1800000000	15800.1300000000	16035.0600000000	16179.5900000000
0	15.2442000000000	377.033400000000	2665.01000000000	7833.19500000000	12500.8400000000	14768.5200000000	15880.2400000000	16029.7700000000	16186.9700000000
0	15.2442000000000	1019.07600000000	6909.03600000000	11989.9800000000	14054.9800000000	14030.8800000000	12229.2700000000	9954.32900000000	8439.02500000000
0	15.2442000000000	814.132900000000	4487.69630000000	8662.51990000000	11875.2754000000	12900.7411000000	11054.1936000000	7507.00870000000	4099.80790000000
0	15.2442000000000	377.113400000000	2940.04400000000	8881.53300000000	13740.1700000000	15661.6500000000	16192.9800000000	16178.6500000000	16240.6300000000
0	15.2442000000000	473.615600000000	1971.56490000000	2445.29080000000	2457.66790000000	1931.55650000000	1091.18850000000	633.110200000000	457.438200000000
0	0	255.024600000000	2258.78400000000	7040.86900000000	11694.7200000000	14375.8800000000	15701.6800000000	15939.8900000000	16138.6200000000
0	1.69500000000000	101.318600000000	2420.96600000000	7407.21800000000	11336.5800000000	13474.5500000000	14648.6600000000	15261.0600000000	15466.2200000000
0	26.3855000000000	527.176000000000	3879.42600000000	7685.37600000000	10510.5800000000	12464.8400000000	13259.8700000000	13818.8300000000	14212.8400000000
0	10.2546000000000	439.266100000000	2869.84000000000	7657.09900000000	11235.0200000000	13216.2200000000	14228.6300000000	14839.9100000000	15134.7400000000
0	26.3855000000000	974.659100000000	3455.93500000000	8108.04100000000	11275.1600000000	13025.7500000000	13689.4400000000	14173.4100000000	14384.6800000000
0	1.69500000000000	101.318600000000	3444.37500000000	7843.68800000000	7969.54100000000	7855.96800000000	7661.84500000000	7179.05100000000	7398.02800000000
0	26.3855000000000	578.185200000000	4527.01400000000	6862.12000000000	7416.77400000000	7592.96800000000	7495.98800000000	7262.40800000000	7249.70100000000
0	10.2546000000000	439.266100000000	3290.61600000000	7588.21400000000	7796.31500000000	7669.15700000000	7523.07900000000	7129.79000000000	7296.00600000000
0	26.3855000000000	974.659100000000	3555.54600000000	7503.55800000000	7792.92400000000	7654.83100000000	7492.63000000000	7116.17000000000	7222.01500000000
0	13.3942000000000	503.315300000000	3850.97000000000	7915.66700000000	11175.1000000000	13360.5800000000	14291.3800000000	15042.6900000000	15336.9200000000
0	89.2749000000000	1601.01000000000	5652.64500000000	9543.45700000000	11570.2300000000	12418.9800000000	12387.3200000000	12232.2900000000	12500.8800000000
1.35805747700000	418.784484300000	2886.30250900000	4858.14879800000	7227.82114700000	8366.66412000000	10633.5972700000	11430.5343900000	11179.2160200000	12975.1961100000
1.35805747700000	600.231588500000	4233.29845600000	6178.41176900000	7611.40744000000	10260.3159000000	14476.5848400000	19243.7222400000	17506.3803300000	15895.0389800000
1.35805747700000	350.668629800000	3110.60933800000	6468.74515400000	10135.1827600000	15333.3161900000	16845.0522200000	17681.7927700000	16378.0854300000	14846.7051700000
0.124171269000000	282.266368000000	2056.72078700000	4435.33086100000	6934.81411600000	10017.2622200000	15897.5053700000	20521.8640600000	24081.9975400000	24915.5684800000
0.124171269000000	282.266368000000	2618.18889400000	4697.34275100000	7749.64933600000	10829.4838900000	15400.4766300000	20578.4244000000	24093.6493600000	24757.6976200000
0.124171269000000	282.266368000000	1672.10180400000	4136.50438700000	6464.09099300000	9938.55385800000	14479.6234000000	19444.4787600000	23322.6465000000	24492.6076500000
0.124171269000000	282.266368000000	1672.10180400000	4434.11017000000	6960.83460300000	10152.3492600000	14716.1456600000	19262.7953400000	22232.6280600000	23542.0696500000
0.124171269000000	282.266368000000	1672.10180400000	4435.98215000000	6797.59256800000	9698.24746300000	14150.4006500000	19340.5324800000	23247.6931500000	24376.1924800000
0.0588953830000000	0.0676254930000000	1327.77031300000	4841.24674700000	7537.05233100000	10014.3419700000	11874.1146300000	12875.3464300000	14329.4590200000	15436.7776900000
